HourOfYear,PV_kWh_per_kWp,,
784,0.1430975,57.239,
785,0.04194,16.776,
786,0,0,
787,0,0,
788,0,0,
789,0,0,
790,0,0,
791,0,0,
792,0,0,
793,0,0,
794,0,0,
795,0,0,
796,0,0,
797,0,0,
798,0,0,
799,0,0,
800,0,0,
801,0,0,
802,0.00899,3.596,
803,0.022647,9.0588,
804,0.06989,27.956,
805,0.0759075,30.363,
806,0.0705925,28.237,
807,0.0872675,34.907,
808,0.056735,22.694,
809,0.0087195,3.4878,
810,0,0,
811,0,0,
812,0,0,
813,0,0,
814,0,0,
815,0,0,
816,0,0,
817,0,0,
818,0,0,
819,0,0,
820,0,0,
821,0,0,
822,0,0,
823,0,0,
824,0,0,
825,0.0273125,10.925,
826,0.1365175,54.607,
827,0.195065,78.026,
828,0.21764,87.056,
829,0.177195,70.878,
830,0.16941,67.764,
831,0.1193475,47.739,
832,0.0724325,28.973,
833,0.01976675,7.9067,
834,0,0,
835,0,0,
836,0,0,
837,0,0,
838,0,0,
839,0,0,
840,0,0,
841,0,0,
842,0,0,
843,0,0,
844,0,0,
845,0,0,
846,0,0,
847,0,0,
848,0,0,
849,0.00623825,2.4953,
850,0.0304375,12.175,
851,0.0339975,13.599,
852,0.0537925,21.517,
853,0.1769075,70.763,
854,0.2482675,99.307,
855,0.21292,85.168,
856,0.16005,64.02,
857,0.07453,29.812,
858,0,0,
859,0,0,
860,0,0,
861,0,0,
862,0,0,
863,0,0,
864,0,0,
865,0,0,
866,0,0,
867,0,0,
868,0,0,
869,0,0,
870,0,0,
871,0,0,
872,0,0,
873,0.0043715,1.7486,
874,0.0324875,12.995,
875,0.0645625,25.825,
876,0.06807,27.228,
877,0.089765,35.906,
878,0.08789,35.156,
879,0.05827,23.308,
880,0.0469975,18.799,
881,0.00883275,3.5331,
882,0,0,
883,0,0,
884,0,0,
885,0,0,
886,0,0,
887,0,0,
888,0,0,
889,0,0,
890,0,0,
891,0,0,
892,0,0,
893,0,0,
894,0,0,
895,0,0,
896,0,0,
897,0.00341925,1.3677,
898,0.02475375,9.9015,
899,0.02315175,9.2607,
900,0.034525,13.81,
901,0.0476325,19.053,
902,0.0258,10.32,
903,0.0362325,14.493,
904,0.03524,14.096,
905,0.0149345,5.9738,
906,0,0,
907,0,0,
908,0,0,
909,0,0,
910,0,0,
911,0,0,
912,0,0,
913,0,0,
914,0,0,
915,0,0,
916,0,0,
917,0,0,
918,0,0,
919,0,0,
920,0,0,
921,0.00631725,2.5269,
922,0.032735,13.094,
923,0.047705,19.082,
924,0.0890625,35.625,
925,0.127845,51.138,
926,0.144215,57.686,
927,0.119975,47.99,
928,0.0660375,26.415,
929,0.028915,11.566,
930,0,0,
931,0,0,
932,0,0,
933,0,0,
934,0,0,
935,0,0,
936,0,0,
937,0,0,
938,0,0,
939,0,0,
940,0,0,
941,0,0,
942,0,0,
943,0,0,
944,0,0,
945,0.001535,0.614,
946,0.034755,13.902,
947,0.0893625,35.745,
948,0.1107225,44.289,
949,0.137185,54.874,
950,0.1648225,65.929,
951,0.1669175,66.767,
952,0.106785,42.714,
953,0.0425975,17.039,
954,0,0,
955,0,0,
956,0,0,
957,0,0,
958,0,0,
959,0,0,
960,0,0,
961,0,0,
962,0,0,
963,0,0,
964,0,0,
965,0,0,
966,0,0,
967,0,0,
968,0,0,
969,-0.000183,-0.0732,
970,0.02677,10.708,
971,0.0260825,10.433,
972,0.0471525,18.861,
973,0.0489,19.56,
974,0.0409375,16.375,
975,0.045295,18.118,
976,0.0276275,11.051,
977,0.02113375,8.4535,
978,0,0,
979,0,0,
980,0,0,
981,0,0,
982,0,0,
983,0,0,
984,0,0,
985,0,0,
986,0,0,
987,0,0,
988,0,0,
989,0,0,
990,0,0,
991,0,0,
992,0,0,
993,0.0262575,10.503,
994,0.092375,36.95,
