HourOfYear,FarmLoad_kWh,,,,
481,31.325,,,,
482,23.795,,,,
483,32.925,,,,
484,23.42,,,,
485,32.485,,,,
486,23.535,,,,
487,23.62,,,,
488,23.72,,,,
489,23.455,,,,
490,29.96,,,,
491,29.11,,,,
492,37.41,,,,
493,29.09,,,,
494,41.81,,,,
495,30.68,,,,
496,39.095,,,,
497,30.6,,,,
498,30.07,,,,
499,24.095,,,,
500,30.83,,,,
501,23.95,,,,
502,23.8,,,,
503,31.255,,,,
504,23.98,,,,
505,34.19,,,,
506,24.1,,,,
507,37.785,,,,
508,23.965,,,,
509,31.505,,,,
510,24.23,,,,
511,24.295,,,,
512,23.97,,,,
513,27.865,,,,
514,35.265,,,,
515,26.965,,,,
516,39.475,,,,
517,30.905,,,,
518,40.92,,,,
519,28.005,,,,
520,37.97,,,,
521,28.5,,,,
522,34.885,,,,
523,28.7,,,,
524,42.32,,,,
525,28.29,,,,
526,28.415,,,,
527,35.335,,,,
528,28.495,,,,
529,36.46,,,,
530,28.835,,,,
531,42.1,,,,
532,28.455,,,,
533,37.06,,,,
534,28.57,,,,
535,28.6,,,,
536,28.53,,,,
537,28.67,,,,
538,35.745,,,,
539,24.935,,,,
540,35.08,,,,
541,25.565,,,,
542,36.42,,,,
543,24.075,,,,
544,34.895,,,,
545,29.57,,,,
546,36.525,,,,
547,29.42,,,,
548,47.17,,,,
549,29.17,,,,
550,28.94,,,,
551,44.81,,,,
552,42.605,,,,
553,28.7,,,,
554,29.145,,,,
555,28.815,,,,
556,28.895,,,,
557,29.135,,,,
558,28.935,,,,
559,28.995,,,,
560,29.19,,,,
561,36.79,,,,
562,41.65,,,,
563,33.715,,,,
564,30.945,,,,
565,31.375,,,,
566,30.23,,,,
567,30.69,,,,
568,38.1,,,,
569,28.65,,,,
570,37.075,,,,
571,28.705,,,,
572,38.945,,,,
573,28.105,,,,
574,27.94,,,,
575,36.065,,,,
576,28.175,,,,
577,35.085,,,,
578,28.445,,,,
579,35.805,,,,
580,28.055,,,,
581,34.685,,,,
582,28.37,,,,
583,28.285,,,,
584,28.33,,,,
585,28.71,,,,
586,40.43,,,,
587,32.745,,,,
588,35.63,,,,
589,28.19,,,,
590,42.53,,,,
591,33.425,,,,
592,44.565,,,,
593,31.39,,,,
594,35.6,,,,
595,28.58,,,,
596,35.185,,,,
597,27.7,,,,
598,25.41,,,,
599,32.33,,,,
600,25.45,,,,
601,33.55,,,,
602,25.6,,,,
603,37.295,,,,
604,25.49,,,,
605,35.36,,,,
606,25.605,,,,
607,25.65,,,,
608,25.405,,,,
609,29.14,,,,
610,41.77,,,,
611,30.785,,,,
612,38.03,,,,
613,25.325,,,,
614,39.565,,,,
615,29.8,,,,
616,39.135,,,,
617,27.755,,,,
618,33.68,,,,
619,31.74,,,,
620,31.36,,,,
621,24.93,,,,
622,24.99,,,,
623,30.755,,,,
624,24.97,,,,
625,30.565,,,,
626,25.24,,,,
627,31.88,,,,
628,24.85,,,,
629,31.045,,,,
630,24.92,,,,
631,25.025,,,,
632,25.01,,,,
633,25.405,,,,
